"acronym","term","source"
"CFC","Consumption of fixed capital","BEA"
"EITC","Earned Income Tax Credit","BEA"
"GDP","Gross domestic product","BEA"
"GSP","Gross state product","BEA"
"IVA","Inventory valuation adjustment","BEA"
"MSA","Metropolitan statistical area","BEA"
"PCE","Other services","BEA"
"QCEW","Quarterly Census of Employment and Wages","BEA"
"RPP","Regional price parities","BEA"
"SIC","Standard Industrial Classification","BEA"
"SNAP","Supplemental Nutrition Assistance Program","BEA"
"SSI","Supplemental security income","BEA"
"UCFE","Unemployment compensation for Federal civilian employees","BEA"
"UCX","Unemployment compensation for veterans","BEA"
"PIM","Process Improvement Methodology","EU"
"SRI","SDMX-RI","EU"
"AAP","Absolute agricultural prices","EU"
"ACC","Acceding Countries","EU"
"ABAC","Accrual-based Accounting System","EU"
"ABB","Activity Based Budgetting","EU"
"ABM","Activity Based Management","EU"
"AES","Adult Education Survey","EU"
"AHC","Advisor ""hors classe""","EU"
"ACP","African, Caribbean and Pacific Group of States","EU"
"AEI","Agri-environmental indicator","EU"
"AAU","Agricultural area in use","EU"
"ALI","Agricultural Labour Input","EU"
"API","Agricultural price indices","EU"
"AEA","Air Emissions Accounts","EU"
"CAN","Andean Community","EU"
"AAR","Annual Activity Report ","EU"
"AMP","Annual Management Plan","EU"
"APS","Annual Policy Strategy","EU"
"ASWP","Annual statistical work programme","EU"
"AWP","Annual Work Programme","EU"
"AWU","Annual work unit","EU"
"ALM","Application Lifecycle Management","EU"
"ALA","Asia and Latin America","EU"
"ADMS","Asset Description Metadata Schema","EU"
"AST","Assistant (Commission function level)","EU"
"ABS","Australian Bureau of Statistics","EU"
"AOD","Authorising Officer by Delegation","EU"
"AOSD","Authorising Officer by Sub-Delegation","EU"
"BOP","Balance Of Payments","EU"
"BIS","Bank of International Settlements","EU"
"BLEU","Belgo-Luxembourg Economic Union","EU"
"BIGD","Big data (part of the ESS Vision 2020 portfolio)","EU"
"BEC","Broad Economic Categories","EU"
"BARG","Business Architecture Reflection Group","EU"
"BCM","Business Capability Model","EU"
"BCP","Business Continuity Plan","EU"
"BCC","Business Cycle Clock","EU"
"BCC2","Business Cycle Clock v. 2","EU"
"BES","Business enterprise sector","EU"
"BPM","Business Process Model(ling)","EU"
"BPMN","Business Process Modelling Notation","EU"
"BRIS","Business Registers Interconnection System","EU"
"BSDG","Business Statistics Directors Group","EU"
"CAB","Cabinet","EU"
"CFT","Call for Tender","EU"
"CDR","Career Development Review","EU"
"CSIS","Center for Strategic and International Studies","EU"
"CET","Central European Time","EU"
"CGB","Central Government Budget","EU"
"CPC","Central Product Classification","EU"
"CIO","Chief Information Officer","EU"
"KIS","Classification of knowledge intensive services","EU"
"COPP","Classification of outlays of producers by purpose","EU"
"CEI","Classification of Trade in Invisibles","EU"
"CoP","Code of Practice","EU"
"CN8","Combined Nomenclature (at eight digit level)","EU"
"COTS","Commercial off-the-shelf products","EU"
"CAFS","Commission's Anti-Fraud Strategy","EU"
"CAP","Common Agricultural Policy","EU"
"CAF","Common Assessment Framework","EU"
"CCT","Common Customs Tariff","EU"
"CDVP","Common Data Validation Policy","EU"
"CORA","COmmon Reference Architecture","EU"
"CRA","Common Reference Architecture","EU"
"CORE","Common Reference Environment","EU"
"CSPA","Common Statistical Production Architecture","EU"
"CIS","Commonwealth of Independent States","EU"
"CARE","Community road accident database","EU"
"CSF","Community Support Framework","EU"
"CNA","Competent National Authority","EU"
"CES","Conference of European Statisticians","EU"
"CMDB","Configuration Management DataBase","EU"
"CPI","Consumer Price Index","EU"
"COG","Content Oriented Guidelines (SDMX)","EU"
"CVT","Continuing Vocational Training","EU"
"CVTS","Continuing Vocational Training Survey","EU"
"CGST","Coordination Group for Statistics on Transport","EU"
"CoRD","Coordination of Raw Data Collection","EU"
"CPO","Corporate Project Office","EU"
"COLI","Cost of Living Index","EU"
"CIF","Cost, insurance, freight","EU"
"CRSU","Council Regulation on Statistical Units","EU"
"CARP","Countries and Regions Profiles","EU"
"CPA","Country Profile Application","EU"
