"Name.en","Name.fr","Name.de"
"Adjustment for residence (county annual income)","Ajustement de résidence (revenu du comté annuel)","Anpassung für den Aufenthalt (Grafschaft Jahreseinkommen)"
"Contributions for government social insurance (county annual income)","Contributions d'assurance sociale du gouvernement (revenu du comté annuel)","Beiträge für staatliche Sozialversicherung (Grafschaft Jahreseinkommen)"
"Earnings by place of work (county annual income)","Le bénéfice par lieu de travail (revenu du comté annuel)","Das Ergebnis nach Arbeitsort (Grafschaft Jahreseinkommen)"
"Total employment (full and part time) (county annual income)","L'emploi total (temps plein et partiel) (revenu du comté annuel)","Die Gesamtbeschäftigung (Voll- und Teilzeit) (Grafschaft Jahreseinkommen)"
"Wage and salary employment (county annual income)","Salaires et de l'emploi de salaire (comté de revenu annuel)","Lohn- und Gehalts Beschäftigung (Grafschaft Jahreseinkommen)"
"Proprietors employment (county annual income)","emploi Proprietors (revenu annuel comté)","Proprietors Beschäftigung (Grafschaft Jahreseinkommen)"
"Farm income (county annual income)","Le revenu agricole (revenu du comté annuel)","Farm Einkommen (Grafschaft Jahreseinkommen)"
"Net earnings by place of residence (county annual income)","Le bénéfice net par lieu de résidence (revenu annuel de comté)","Der Nettogewinn nach Wohnort (Grafschaft Jahreseinkommen)"
"Nonfarm personal income (county annual income)","revenu non agricole (revenu annuel comté)","Nichtfarmlohn- persönliche Einkommen (Grafschaft Jahreseinkommen)"
"Per capita dividends, interest, and rent (county annual income)","dividendes par habitant, l'intérêt et le loyer Per (comté de revenu annuel)","Pro-Kopf-Dividenden, Zinsen und Miete (Grafschaft Jahreseinkommen)"
"Per capita income maintenance (county annual income)","maintien du revenu par habitant (comté de revenu annuel)","Pro-Kopf-Einkommen Wartung (Grafschaft Jahreseinkommen)"
"Per capita net earnings (county annual income)","Par habitant bénéfice net (revenu du comté annuel)","Pro-Kopf-Nettoeinkommen (Grafschaft Jahreseinkommen)"
"Per capita personal income (county annual income)","le revenu personnel par habitant (comté de revenu annuel)","Der Pro-Kopf persönliches Einkommen (Grafschaft Jahreseinkommen)"
"Per capita retirement and other (county annual income)","la retraite par habitant et autres (revenus du comté annuel) par","Pro-Kopf-Ruhestand und andere (Grafschaft Jahreseinkommen)"
"Per capita personal current transfer receipts (county annual income)","les recettes par habitant personnelles actuelles de transfert (revenu annuel comté)","Der Pro-Kopf persönlichen aktuellen Transfereinnahmen (Grafschaft Jahreseinkommen)"
"Personal current transfer receipts (county annual income)","recettes de transfert actuels personnels (comté de revenu annuel)","Persönliche aktuellen Transfereinnahmen (Grafschaft Jahreseinkommen)"
"Per capita unemployment insurance compensation (county annual income)","compensation par habitant de l'assurance-chômage (revenu annuel comté)","Der Pro-Kopf Arbeitslosenversicherung Entschädigung (Grafschaft Jahreseinkommen)"
"Average compensation per job (county annual income)","La rémunération moyenne par emploi (revenu du comté annuel)","Durchschnittliche Vergütung pro Auftrag (Grafschaft Jahreseinkommen)"
"Average earnings per job (county annual income)","Le revenu moyen par emploi (revenu annuel de comté)","Das Durchschnittseinkommen pro Auftrag (Grafschaft Jahreseinkommen)"
"Average wage per job (county annual income)","Le salaire moyen par emploi (revenu du comté annuel)","Der Durchschnittslohn pro Job (Grafschaft Jahreseinkommen)"
"Population (county annual income)","Population (comté de revenu annuel)","Bevölkerung (Grafschaft Jahreseinkommen)"
"Proprietors' Income (county annual income)","Revenu de propriétaires (revenu annuel de comté)","Proprietors 'Einkommen (Grafschaft Jahreseinkommen)"
"Supplements to wages and salaries (county annual income)","Suppléments aux salaires et traitements (revenu du comté annuel)","Zuschläge auf Löhne und Gehälter (Grafschaft Jahreseinkommen)"
"Total personal income (county annual income)","Revenu personnel total (revenu annuel comté)","Insgesamt persönliche Einkommen (Grafschaft Jahreseinkommen)"
"Wages and salaries (county annual income)","Salaires et traitements (comté de revenu annuel)","Löhne und Gehälter (Grafschaft Jahreseinkommen)"
"Compensation of employees [State Annual NAICS]","Rémunération des salariés [État SCIAN annuel]","Das Arbeitnehmerentgelt [Staat Annual NAICS]"
"Compensation of employees [State Annual SIC]","Rémunération des salariés [État SIC annuel]","Das Arbeitnehmerentgelt [Staat Annual SIC]"
"Gross domestic product (GDP) by state [State Annual NAICS]","Produit intérieur brut (PIB) par l'Etat [État SCIAN annuel]","Das Bruttoinlandsprodukt (BIP) von Staat [Staat Annual NAICS]"
"Gross domestic product (GDP) by state [State Annual SIC]","Produit intérieur brut (PIB) par l'Etat [État SIC annuel]","Das Bruttoinlandsprodukt (BIP) von Staat [Staat Annual SIC]"
"Gross domestic product (GDP) by state [State Quarterly NAICS]","Produit intérieur brut (PIB) par l'Etat [État SCIAN trimestriel]","Das Bruttoinlandsprodukt (BIP) von Staat [Staat Quarterly NAICS]"
