Merge_ID,Source_Component,Target_Component,Map_Type,Source_Value,Target_Value
1,GEO,GEO,Functional_Map,(.*),(\1)
1,TIME_PERIOD,TIME,Functional_Map,(.*),(\1)
1,UNIT,UNIT,Value_Map,MIO_EUR,EUR
1,OBS_VALUE,OBS_VALUE,Functional_Map,(.*),(\1)
1,UNIT,UNIT_MULT,Value_Map,MIO_EUR,6
1,GEO,GEO_NAME,Functional_Map,(.*),(\1)
2,GeoFips,GEO,Functional_Map,(.*),(\1)
2,GeoName,GEO_NAME,Functional_Map,(.*),(\1)
2,TimePeriod,TIME,Functional_Map,(.*),(\1)
2,CL_UNIT,UNIT,Value_Map,USD,6
2,UNIT_MULT,UNIT_MULT,Value_Map,6,6
2,DataValue,OBS_VALUE,Functional_Map,(.*),(\1)
